Q01844,51,33,42,26,20,11,1,25,26,27,10,11,9,0,50,14,64,18,6,13,0,13,19,19,16,8,5,3,36,8,6,3,6,4,0,7,7,7,9,11,5,1,2,1,0,1,1,0,0
O43809,10,11,5,6,2,4,0,14,23,11,13,5,5,0,5,9,6,4,7,3,0,3,10,5,3,6,4,0,2,11,5,2,3,4,0,4,6,1,4,4,4,1,0,1,0,0,0,0,0
Q01130,8,5,8,1,8,4,0,3,9,1,1,7,6,0,8,8,13,1,36,2,0,0,1,2,1,0,1,0,6,3,40,0,11,5,0,9,1,4,1,3,3,0,0,0,0,0,0,0,0
P01344,5,13,7,2,6,4,1,15,14,7,2,5,4,1,4,8,4,4,5,3,3,2,2,2,0,4,1,0,6,5,5,2,5,3,0,3,4,5,1,2,1,1,3,2,0,0,0,1,2
O95639,11,9,6,7,2,6,3,9,22,7,8,7,8,5,8,6,8,8,6,4,3,3,12,9,8,6,2,1,9,6,5,6,2,2,2,1,7,3,5,4,0,4,3,4,4,0,5,2,0
P98175,34,43,46,22,15,21,1,34,33,33,24,19,15,2,40,28,48,30,24,32,0,25,25,27,14,17,16,0,21,11,20,17,21,25,3,26,18,27,17,21,28,0,2,2,0,1,1,0,0
Q15633,23,18,18,9,8,8,4,21,14,18,7,9,12,1,16,22,15,3,7,6,3,7,8,5,2,5,5,1,12,7,5,5,5,3,0,8,12,7,4,2,8,1,1,1,3,3,2,0,1
P84103,4,5,2,4,5,4,1,5,7,7,0,5,4,1,3,7,1,4,12,1,1,4,2,0,2,4,1,0,5,2,16,3,11,7,0,3,5,2,0,6,2,1,1,1,0,0,2,0,0
Q13242,8,8,8,5,8,9,1,4,8,9,1,13,5,0,13,7,8,3,8,4,0,4,2,3,1,2,2,1,8,7,7,4,3,9,0,10,8,7,1,3,6,0,0,0,1,0,1,0,0
P52756,33,33,31,16,17,21,1,33,23,28,16,18,18,2,41,23,39,23,17,32,1,8,27,26,18,11,9,0,12,14,20,14,25,27,4,24,15,31,10,27,17,0,1,3,0,2,1,1,1
P28358,5,7,13,8,7,7,1,10,12,21,10,6,10,0,17,18,21,13,7,6,5,5,12,10,8,5,4,1,3,9,10,3,9,8,1,7,8,10,3,7,3,0,1,3,2,0,2,0,1
Q8TB72,64,71,45,39,13,18,3,64,54,52,35,15,26,0,50,45,55,32,17,17,0,40,32,28,37,21,6,1,18,25,16,6,7,10,3,14,19,18,15,9,13,2,3,1,1,1,3,0,1
Q15365,22,11,25,9,13,3,3,18,16,15,12,8,10,2,13,26,17,12,1,7,0,14,8,10,4,0,4,2,7,11,0,5,2,4,1,9,6,7,0,5,3,1,3,3,2,0,1,0,0
